Komentar,Skor
Heran deh toko pedia ini habis di transfer berhasil dilihat ke pembayaran pesanan di batalkan terus uangnya lari kemana gan,0
Semenjak update terbaru total cashback nya jadi sedikit paling mentok goceng. beda sama sebelumnya yg bisa cashback smpe 20 ribu. pindah ke toko sebelah ajah dah,0
"Proses klaim muter2,cancel sepihak,proses lambat. Sho*** lebih baik",0
"Aplikasi belanja online paling enak..""sebelum ada anteraja"" knp si harus ada anteraja pdhal udh enak sicepat buat gratis ongkirnya...gara2 anteraja sya jd MALES buat apk ini",0
"Karya Dari tangan manusia Tidak ada yang sempurna, tp masih berguna untuk mempermudah kebutuhan manusia dalam berbelanja online, Tokopedia salah satunya, terima kasih.",0
"Saya pemilik akun tokopedia atas nama TRI SETIANTO, dimana OVO, Kredivo, KTP, NO HP dan HP milik saya sendiri dengan nama akun yang sama. Dimana belaja produk loreal dan ada casback 80.000 tapi kenyataan nya ZONK. Akhir nya di tgl 22 Nov saya komplain dengan no#22834435 ditangani IWAN dan di janjikan dalam waktu maximal 2x24jam terselesaikan, tapi nyata nya ZONK. Lalu di tangani oleh BIANCA. Sampai akhir nya di tgl 09 Des akun saya di tutup. SAYA SANGAT KECEWA. CASHBACK SAYA 80.000 TIDAK DI BERI",0
"Saya sungguh kecewa bgt saya sudah transfer beli 4 barang, dan tiba tiba di batalkan tulisan nya ""dibatalkan otomatis oleh sistem karena pesanan melanggar T&C"" padahal saya baru instal tidak tahu apa apa, dan saya cek saldo uang kembali malah kurang 10 ribu, saya kecewa banget saya terlahir di keluarga yg kurang mampu 10 ribu itu berarti banget tetapi malah tokopedia asal batalin otomatis segala lagi, pake ada acara melanggar T&C maksudnya apaan 10 ribu itu uang loh sama aja dengan korupsi itu!!",0
"Parah transaksi di batalkan, saldo masuk Tokopedia,mana dibuat beli dengan voucher diskon 10k eh gagal lagi pembayaran Pake saldo Tokopedia",0
"Hati2 klw mau transfer ,harus lewat rekening tokopedia langsung,gua ketipu 850 ribu dengan nama toko INDOGRAMM ,malah disuruh transfer lewat rekening pribadinya...saya harap dari pihak tokopedia bisa membantu saya untuk mengembalikan uang saya,walau saya tau itu kebodohan saya,tapi pihak tokopedia semoga lebih mengerti orang kecil seperti saya yang dirugikan... Tolong Mohon bantuannya... Terimakasih...",0
Paling benci kl nyari barang di tokopedia. Nyari Hp yang ditampilkan paling atas selalu aksesoris hp.,0
Klo ga ada pembaruan yang signifikan buat cuatimer jgn trlalu sering update napa ..,1
"terimakasih tokopedia,ilmu yang saya dapat sangat bermanfaat dan berguna untuk saya,terimakasih",1
Jangan berharap sering dapat cashback. karena kupon cashback sering Zonk. Kgk jelas maksudnya. Kalau kasih cashback yg serius. Kl kgk mendingan jgn keluarin kupon cashback. Daripada harapan kosong.,0
Sangat kecewa.. Kenapa data email saya bisa bocor di tokopedia.. Sangat menyesal,0
